investor,commit,deal_size,invite,rating,int_rate,covenants,total_fees,fee_share,prior_tier,invite_tier,tier_change,fee_percent,invite_percent
Ipanema Investments,Decline,1900,140,5,Market,1,158,27.8,Bookrunner,Participant,Demoted,0.1759493671,0.07368421053
Bank of Pepperoni Pizza,Commit,1500,280,4,Market,1,151,35.9,Bookrunner,Bookrunner,None,0.2377483444,0.1866666667
Damiba Investment Group,Commit,1400,200,5,Market,1,199,6.4,Bookrunner,Bookrunner,None,0.03216080402,0.1428571429
Bank of Pepperoni Pizza,Commit,1000,140,8,Market,0,64,10.2,Bookrunner,Bookrunner,None,0.159375,0.14
Beef and Broccoli Union,Commit,2300,170,10,Market,1,372,51.3,Bookrunner,Participant,Demoted,0.1379032258,0.07391304348
Cold Cut Credit,Commit,800,120,3,Market,1,36,1.2,Bookrunner,Bookrunner,None,0.03333333333,0.15
Ipanema Investments,Commit,500,110,1,Market,3,76,19.3,Bookrunner,Bookrunner,None,0.2539473684,0.22
Beef and Broccoli Union,Decline,1200,120,2,Market,1,49,9.1,Bookrunner,Participant,Demoted,0.1857142857,0.1
Cold Cut Credit,Commit,1600,250,5,Market,1,202,26.9,Bookrunner,Bookrunner,None,0.1331683168,0.15625
Beef and Broccoli Union,Decline,200,20,2,Market,1,4,0.2,Bookrunner,Participant,Demoted,0.05,0.1
Damiba Investment Group,Commit,1700,180,1,Above,2,308,29.6,Bookrunner,Participant,Demoted,0.0961038961,0.1058823529
Bank of Pepperoni Pizza,Commit,1500,230,10,Market,0,212,62.5,Bookrunner,Bookrunner,None,0.2948113208,0.1533333333
Ipanema Investments,Commit,1300,230,6,Above,1,115,23.5,Bookrunner,Bookrunner,None,0.2043478261,0.1769230769
Damiba Investment Group,Decline,1500,170,4,Market,1,151,13.9,Bookrunner,Participant,Demoted,0.09205298013,0.1133333333
Bank of Pepperoni Pizza,Commit,1500,140,3,Market,2,134,22,Participant,Participant,None,0.1641791045,0.09333333333
Bank of Pepperoni Pizza,Commit,400,60,1,Market,3,65,10.6,Bookrunner,Bookrunner,None,0.1630769231,0.15
Damiba Investment Group,Commit,1300,190,7,Market,0,117,33.2,Bookrunner,Bookrunner,None,0.2837606838,0.1461538462
Bank of Pepperoni Pizza,Commit,800,120,4,Market,1,113,26.9,Participant,Bookrunner,Promoted,0.2380530973,0.15
Beef and Broccoli Union,Decline,1400,150,7,Above,0,142,13.2,Bookrunner,Participant,Demoted,0.09295774648,0.1071428571
Beef and Broccoli Union,Commit,1600,260,8,Market,0,149,18.9,Bookrunner,Bookrunner,None,0.1268456376,0.1625
Damiba Investment Group,Commit,2000,360,6,Below,2,303,53.6,Participant,Bookrunner,Promoted,0.1768976898,0.18
Damiba Investment Group,Commit,400,70,2,Market,1,9,1.6,Participant,Bookrunner,Promoted,0.1777777778,0.175
Cold Cut Credit,Commit,1000,180,4,Market,1,146,3.8,Bookrunner,Bookrunner,None,0.02602739726,0.18
Cold Cut Credit,Decline,600,100,2,Below,2,33,1.5,Bookrunner,Bookrunner,None,0.04545454545,0.1666666667
Cold Cut Credit,Commit,800,120,2,Below,2,107,2.7,Participant,Bookrunner,Promoted,0.02523364486,0.15
Beef and Broccoli Union,Commit,1200,160,4,Below,1,145,26.4,Bookrunner,Bookrunner,None,0.1820689655,0.1333333333
Damiba Investment Group,Commit,1500,330,8,Market,0,79,29.6,Bookrunner,Bookrunner,None,0.3746835443,0.22
Damiba Investment Group,Commit,300,60,2,Market,2,39,0,Participant,Bookrunner,Promoted,0,0.2
Bank of Pepperoni Pizza,Commit,1100,200,9,Market,0,155,45.9,Bookrunner,Bookrunner,None,0.2961290323,0.1818181818
Bank of Pepperoni Pizza,Commit,400,60,2,Market,2,25,4.4,Bookrunner,Bookrunner,None,0.176,0.15
Damiba Investment Group,Commit,900,150,4,Below,1,74,2.5,Bookrunner,Bookrunner,None,0.03378378378,0.1666666667
Beef and Broccoli Union,Commit,1600,290,2,Market,2,127,36.6,Bookrunner,Bookrunner,None,0.2881889764,0.18125
Damiba Investment Group,Commit,700,140,2,Market,2,54,3.8,Bookrunner,Bookrunner,None,0.07037037037,0.2
Bank of Pepperoni Pizza,Commit,2400,440,5,Market,2,367,65,Bookrunner,Bookrunner,None,0.1771117166,0.1833333333
Damiba Investment Group,Commit,1200,190,4,Market,1,163,7.7,Bookrunner,Bookrunner,None,0.0472392638,0.1583333333
Ipanema Investments,Commit,1000,170,2,Market,2,137,22.1,Bookrunner,Bookrunner,None,0.1613138686,0.17
Bank of Pepperoni Pizza,Commit,2300,350,10,Market,0,252,64,Participant,Bookrunner,Promoted,0.253968254,0.152173913
Ipanema Investments,Commit,1500,300,6,Above,1,178,53.9,Bookrunner,Bookrunner,None,0.3028089888,0.2
Damiba Investment Group,Commit,900,120,1,Market,2,63,8.4,Bookrunner,Bookrunner,None,0.1333333333,0.1333333333
Ipanema Investments,Commit,900,170,1,Market,2,111,18.8,Bookrunner,Bookrunner,None,0.1693693694,0.1888888889
Ipanema Investments,Commit,1500,210,9,Market,0,148,21.5,Bookrunner,Bookrunner,None,0.1452702703,0.14
Cold Cut Credit,Commit,1200,150,1,Market,2,219,23.4,Participant,Bookrunner,Promoted,0.1068493151,0.125
Cold Cut Credit,Commit,800,110,2,Market,2,110,11.1,Bookrunner,Bookrunner,None,0.1009090909,0.1375
Beef and Broccoli Union,Commit,900,160,2,Market,3,157,18.5,Bookrunner,Bookrunner,None,0.1178343949,0.1777777778
Cold Cut Credit,Commit,700,120,2,Market,2,77,4.8,Participant,Bookrunner,Promoted,0.06233766234,0.1714285714
Bank of Pepperoni Pizza,Decline,1000,200,4,Below,1,106,7.6,Bookrunner,Bookrunner,None,0.07169811321,0.2
Cold Cut Credit,Commit,1200,190,6,Market,1,167,47.1,Bookrunner,Bookrunner,None,0.2820359281,0.1583333333
Bank of Pepperoni Pizza,Commit,1100,160,7,Market,0,162,10.2,Participant,Bookrunner,Promoted,0.06296296296,0.1454545455
Beef and Broccoli Union,Decline,1200,150,2,Below,2,126,2.4,Bookrunner,Bookrunner,None,0.01904761905,0.125
Ipanema Investments,Commit,800,110,2,Market,2,90,15.2,Bookrunner,Bookrunner,None,0.1688888889,0.1375
Ipanema Investments,Commit,400,70,2,Market,2,44,0,Participant,Bookrunner,Promoted,0,0.175
Beef and Broccoli Union,Commit,1600,320,8,Market,0,198,42.2,Participant,Bookrunner,Promoted,0.2131313131,0.2
Cold Cut Credit,Decline,900,100,2,Market,2,60,6.2,Bookrunner,Participant,Demoted,0.1033333333,0.1111111111
Beef and Broccoli Union,Commit,1400,280,9,Market,0,147,7.1,Bookrunner,Bookrunner,None,0.04829931973,0.2
Cold Cut Credit,Commit,200,40,3,Market,2,14,2.9,Bookrunner,Bookrunner,None,0.2071428571,0.2
Beef and Broccoli Union,Commit,1800,250,6,Market,1,212,23.1,Bookrunner,Bookrunner,None,0.1089622642,0.1388888889
Ipanema Investments,Commit,400,60,2,Market,2,24,1.7,Participant,Bookrunner,Promoted,0.07083333333,0.15
Ipanema Investments,Decline,600,140,2,Market,2,63,3,Bookrunner,Bookrunner,None,0.04761904762,0.2333333333
Cold Cut Credit,Commit,1100,190,6,Market,0,41,10.8,Bookrunner,Bookrunner,None,0.2634146341,0.1727272727
Bank of Pepperoni Pizza,Commit,1400,260,6,Market,1,186,50.2,Bookrunner,Bookrunner,None,0.2698924731,0.1857142857
Ipanema Investments,Decline,800,90,1,Market,2,72,18.8,Bookrunner,Participant,Demoted,0.2611111111,0.1125
Cold Cut Credit,Commit,800,150,3,Market,2,80,22.4,Participant,Bookrunner,Promoted,0.28,0.1875
Cold Cut Credit,Commit,1400,250,5,Above,1,167,4.3,Bookrunner,Bookrunner,None,0.02574850299,0.1785714286
Cold Cut Credit,Commit,1200,230,5,Market,2,221,38.7,Bookrunner,Bookrunner,None,0.1751131222,0.1916666667
Beef and Broccoli Union,Commit,900,180,2,Market,2,57,1.2,Participant,Bookrunner,Promoted,0.02105263158,0.2
Ipanema Investments,Decline,1000,90,8,Market,0,17,3.8,Bookrunner,Participant,Demoted,0.2235294118,0.09
Damiba Investment Group,Commit,700,90,2,Above,2,97,17.8,Bookrunner,Bookrunner,None,0.1835051546,0.1285714286
Damiba Investment Group,Commit,400,80,2,Below,2,44,11.6,Bookrunner,Bookrunner,None,0.2636363636,0.2
Ipanema Investments,Commit,1500,200,6,Market,1,157,13,Bookrunner,Bookrunner,None,0.08280254777,0.1333333333
Ipanema Investments,Commit,900,140,2,Market,1,27,5.7,Bookrunner,Bookrunner,None,0.2111111111,0.1555555556
Bank of Pepperoni Pizza,Commit,600,90,3,Market,3,115,0,Participant,Bookrunner,Promoted,0,0.15
Ipanema Investments,Commit,900,190,3,Market,3,139,28.6,Bookrunner,Bookrunner,None,0.2057553957,0.2111111111
Beef and Broccoli Union,Decline,1300,70,3,Market,3,205,12.7,Bookrunner,Participant,Demoted,0.06195121951,0.05384615385
Ipanema Investments,Commit,1300,250,3,Market,2,143,6,Bookrunner,Bookrunner,None,0.04195804196,0.1923076923
Beef and Broccoli Union,Commit,1800,240,3,Below,3,711,57.6,Bookrunner,Bookrunner,None,0.08101265823,0.1333333333
Cold Cut Credit,Commit,1400,170,6,Market,1,207,23.4,Bookrunner,Bookrunner,None,0.1130434783,0.1214285714
Beef and Broccoli Union,Commit,800,110,3,Below,2,78,12.2,Bookrunner,Bookrunner,None,0.1564102564,0.1375
Ipanema Investments,Commit,700,100,2,Below,2,89,19.7,Bookrunner,Bookrunner,None,0.2213483146,0.1428571429
Damiba Investment Group,Decline,900,50,2,Market,1,45,2.8,Bookrunner,Participant,Demoted,0.06222222222,0.05555555556
Ipanema Investments,Commit,1500,240,3,Market,2,110,12,Participant,Bookrunner,Promoted,0.1090909091,0.16
Bank of Pepperoni Pizza,Commit,1000,200,6,Market,1,121,6.3,Bookrunner,Bookrunner,None,0.0520661157,0.2
Ipanema Investments,Commit,1200,220,7,Market,0,100,35.2,Bookrunner,Bookrunner,None,0.352,0.1833333333
Beef and Broccoli Union,Commit,900,130,3,Above,3,137,36.2,Bookrunner,Bookrunner,None,0.2642335766,0.1444444444
Damiba Investment Group,Commit,1200,180,4,Market,0,20,3.1,Bookrunner,Bookrunner,None,0.155,0.15
Cold Cut Credit,Commit,600,80,3,Market,2,55,10.1,Participant,Bookrunner,Promoted,0.1836363636,0.1333333333
Bank of Pepperoni Pizza,Commit,200,30,3,Market,2,14,1.8,Bookrunner,Bookrunner,None,0.1285714286,0.15
Damiba Investment Group,Commit,900,140,2,Market,2,47,8,Bookrunner,Bookrunner,None,0.170212766,0.1555555556
Damiba Investment Group,Commit,200,30,1,Market,2,13,1.4,Bookrunner,Bookrunner,None,0.1076923077,0.15
Beef and Broccoli Union,Commit,1400,230,5,Above,1,155,48.2,Bookrunner,Bookrunner,None,0.3109677419,0.1642857143
Beef and Broccoli Union,Commit,1500,220,3,Market,3,254,9.1,Bookrunner,Bookrunner,None,0.03582677165,0.1466666667
Cold Cut Credit,Commit,1700,230,8,Market,0,169,3.5,Bookrunner,Bookrunner,None,0.02071005917,0.1352941176
Cold Cut Credit,Commit,200,30,2,Market,2,22,2.8,Bookrunner,Bookrunner,None,0.1272727273,0.15
Damiba Investment Group,Commit,1300,250,4,Market,1,132,30.8,Bookrunner,Bookrunner,None,0.2333333333,0.1923076923
Damiba Investment Group,Commit,1200,250,2,Market,2,75,1.4,Bookrunner,Bookrunner,None,0.01866666667,0.2083333333
Ipanema Investments,Commit,2300,170,5,Market,1,280,33.9,Bookrunner,Participant,Demoted,0.1210714286,0.07391304348
Beef and Broccoli Union,Decline,1000,110,4,Market,1,56,13.6,Bookrunner,Participant,Demoted,0.2428571429,0.11
Ipanema Investments,Commit,1100,150,9,Below,0,131,23.4,Bookrunner,Bookrunner,None,0.1786259542,0.1363636364
Cold Cut Credit,Commit,1700,270,10,Market,0,246,28.8,Bookrunner,Bookrunner,None,0.1170731707,0.1588235294
Beef and Broccoli Union,Commit,800,120,3,Below,2,102,25.5,Bookrunner,Bookrunner,None,0.25,0.15
Bank of Pepperoni Pizza,Commit,1200,210,1,Market,2,219,51.9,Bookrunner,Bookrunner,None,0.2369863014,0.175
Beef and Broccoli Union,Decline,1100,110,1,Market,2,162,26.2,Bookrunner,Participant,Demoted,0.1617283951,0.1
Bank of Pepperoni Pizza,Decline,1200,90,8,Market,0,119,11.5,Bookrunner,Participant,Demoted,0.09663865546,0.075
Ipanema Investments,Commit,1700,250,8,Market,0,214,30,Bookrunner,Bookrunner,None,0.1401869159,0.1470588235
Ipanema Investments,Commit,500,110,1,Below,2,45,6.3,Bookrunner,Bookrunner,None,0.14,0.22
Cold Cut Credit,Commit,600,100,2,Market,2,77,10.4,Bookrunner,Bookrunner,None,0.1350649351,0.1666666667
Beef and Broccoli Union,Commit,800,130,3,Below,3,177,41.2,Bookrunner,Bookrunner,None,0.2327683616,0.1625
Beef and Broccoli Union,Decline,1100,120,6,Market,1,106,9.4,Bookrunner,Participant,Demoted,0.08867924528,0.1090909091
Beef and Broccoli Union,Decline,400,50,1,Market,2,39,5.9,Bookrunner,Bookrunner,None,0.1512820513,0.125
Beef and Broccoli Union,Decline,200,20,3,Market,2,28,2.9,Bookrunner,Participant,Demoted,0.1035714286,0.1
Cold Cut Credit,Commit,200,30,3,Below,2,23,3,Participant,Bookrunner,Promoted,0.1304347826,0.15
Damiba Investment Group,Commit,300,60,3,Below,2,29,7.6,Bookrunner,Bookrunner,None,0.2620689655,0.2
Ipanema Investments,Commit,1200,170,3,Market,1,51,9.1,Bookrunner,Bookrunner,None,0.1784313725,0.1416666667
Damiba Investment Group,Commit,600,100,3,Market,2,79,6.4,Bookrunner,Bookrunner,None,0.08101265823,0.1666666667
Bank of Pepperoni Pizza,Commit,2000,380,6,Below,2,303,41.5,Bookrunner,Bookrunner,None,0.1369636964,0.19
Ipanema Investments,Commit,800,130,1,Market,3,133,8.8,Bookrunner,Bookrunner,None,0.06616541353,0.1625
Ipanema Investments,Decline,700,100,1,Market,2,42,3.2,Bookrunner,Bookrunner,None,0.07619047619,0.1428571429
Ipanema Investments,Commit,400,70,1,Market,1,15,2,Participant,Bookrunner,Promoted,0.1333333333,0.175
Ipanema Investments,Decline,700,80,1,Market,2,94,8.6,Bookrunner,Participant,Demoted,0.0914893617,0.1142857143
Ipanema Investments,Commit,900,110,3,Market,2,49,5.2,Bookrunner,Bookrunner,None,0.106122449,0.1222222222
Cold Cut Credit,Commit,1500,210,6,Market,1,207,44.7,Bookrunner,Bookrunner,None,0.215942029,0.14
Damiba Investment Group,Commit,400,50,1,Market,3,64,5.7,Bookrunner,Bookrunner,None,0.0890625,0.125
Damiba Investment Group,Commit,1300,180,8,Market,0,129,21.7,Bookrunner,Bookrunner,None,0.1682170543,0.1384615385
Ipanema Investments,Commit,800,130,1,Market,2,99,29.2,Bookrunner,Bookrunner,None,0.2949494949,0.1625
Bank of Pepperoni Pizza,Commit,800,120,4,Above,1,230,22.1,Participant,Bookrunner,Promoted,0.09608695652,0.15
Beef and Broccoli Union,Commit,1200,150,3,Below,2,161,20.3,Bookrunner,Bookrunner,None,0.1260869565,0.125
Damiba Investment Group,Commit,900,150,1,Market,2,101,14.8,Bookrunner,Bookrunner,None,0.1465346535,0.1666666667
Cold Cut Credit,Commit,300,40,2,Market,2,30,5.6,Bookrunner,Bookrunner,None,0.1866666667,0.1333333333
Damiba Investment Group,Commit,200,20,3,Market,2,12,1.9,Bookrunner,Bookrunner,None,0.1583333333,0.1
Bank of Pepperoni Pizza,Commit,1400,180,5,Above,1,155,11.6,Bookrunner,Bookrunner,None,0.07483870968,0.1285714286
Cold Cut Credit,Commit,900,110,3,Market,2,62,0,Participant,Bookrunner,Promoted,0,0.1222222222
Beef and Broccoli Union,Commit,1300,160,10,Market,0,176,36.6,Bookrunner,Bookrunner,None,0.2079545455,0.1230769231
Beef and Broccoli Union,Commit,800,130,1,Market,2,46,9.2,Bookrunner,Bookrunner,None,0.2,0.1625
Bank of Pepperoni Pizza,Commit,1300,160,5,Market,1,129,13.3,Participant,Bookrunner,Promoted,0.1031007752,0.1230769231
Ipanema Investments,Commit,1200,210,4,Market,1,126,3.9,Bookrunner,Bookrunner,None,0.03095238095,0.175
Ipanema Investments,Commit,1800,210,4,Market,1,265,21.2,Bookrunner,Participant,Demoted,0.08,0.1166666667
Damiba Investment Group,Commit,1400,260,4,Above,1,181,40.5,Bookrunner,Bookrunner,None,0.2237569061,0.1857142857
Ipanema Investments,Commit,1500,290,10,Market,0,212,50.2,Bookrunner,Bookrunner,None,0.2367924528,0.1933333333
Damiba Investment Group,Commit,1200,210,7,Above,1,236,43.9,Bookrunner,Bookrunner,None,0.1860169492,0.175
Bank of Pepperoni Pizza,Commit,600,90,2,Market,2,60,14.8,Bookrunner,Bookrunner,None,0.2466666667,0.15
Beef and Broccoli Union,Decline,1200,130,4,Market,1,140,21.4,Bookrunner,Participant,Demoted,0.1528571429,0.1083333333
Ipanema Investments,Commit,1300,180,4,Market,1,322,12.9,Bookrunner,Bookrunner,None,0.0400621118,0.1384615385
Ipanema Investments,Commit,600,120,3,Below,2,38,12.8,Bookrunner,Bookrunner,None,0.3368421053,0.2
Ipanema Investments,Commit,900,120,3,Above,2,221,46.9,Bookrunner,Bookrunner,None,0.2122171946,0.1333333333
Cold Cut Credit,Decline,900,90,1,Market,2,54,11.8,Bookrunner,Participant,Demoted,0.2185185185,0.1
Beef and Broccoli Union,Commit,1400,170,5,Above,1,167,31.1,Bookrunner,Bookrunner,None,0.1862275449,0.1214285714
Cold Cut Credit,Commit,500,100,3,Below,2,27,6.2,Bookrunner,Bookrunner,None,0.2296296296,0.2
Cold Cut Credit,Commit,1300,190,10,Market,0,176,2.1,Bookrunner,Bookrunner,None,0.01193181818,0.1461538462
Beef and Broccoli Union,Commit,600,120,1,Market,2,40,6,Participant,Bookrunner,Promoted,0.15,0.2
Damiba Investment Group,Commit,1900,270,2,Below,2,115,10.1,Bookrunner,Bookrunner,None,0.08782608696,0.1421052632
Beef and Broccoli Union,Commit,1500,240,9,Market,0,213,60.9,Bookrunner,Bookrunner,None,0.285915493,0.16
Ipanema Investments,Commit,600,90,3,Below,1,20,5.3,Bookrunner,Bookrunner,None,0.265,0.15
Damiba Investment Group,Decline,1000,100,9,Market,0,148,28.4,Bookrunner,Participant,Demoted,0.1918918919,0.1
Cold Cut Credit,Commit,800,160,2,Above,2,84,7.6,Bookrunner,Bookrunner,None,0.09047619048,0.2
Damiba Investment Group,Commit,900,140,3,Market,2,99,2.7,Bookrunner,Bookrunner,None,0.02727272727,0.1555555556
Beef and Broccoli Union,Decline,1700,230,7,Market,0,88,4.2,Bookrunner,Bookrunner,None,0.04772727273,0.1352941176
Cold Cut Credit,Decline,800,70,3,Market,2,100,17.8,Bookrunner,Participant,Demoted,0.178,0.0875
Ipanema Investments,Commit,1500,210,3,Market,2,96,16.6,Bookrunner,Bookrunner,None,0.1729166667,0.14
Damiba Investment Group,Commit,1100,210,6,Below,1,71,22.4,Bookrunner,Bookrunner,None,0.3154929577,0.1909090909
Ipanema Investments,Commit,1500,180,5,Market,1,123,7.7,Participant,Participant,None,0.06260162602,0.12
Damiba Investment Group,Commit,700,110,1,Market,2,56,14.1,Bookrunner,Bookrunner,None,0.2517857143,0.1571428571
Bank of Pepperoni Pizza,Commit,1400,240,2,Market,2,153,35.3,Bookrunner,Bookrunner,None,0.2307189542,0.1714285714
Bank of Pepperoni Pizza,Commit,400,60,2,Market,2,51,12,Bookrunner,Bookrunner,None,0.2352941176,0.15
Ipanema Investments,Commit,1000,140,5,Above,1,105,17.1,Bookrunner,Bookrunner,None,0.1628571429,0.14
Cold Cut Credit,Commit,600,130,3,Market,2,44,10.9,Bookrunner,Bookrunner,None,0.2477272727,0.2166666667
Cold Cut Credit,Commit,1200,160,7,Market,0,153,34.4,Bookrunner,Bookrunner,None,0.2248366013,0.1333333333
Damiba Investment Group,Commit,1500,240,7,Above,0,153,37.8,Bookrunner,Bookrunner,None,0.2470588235,0.16
Bank of Pepperoni Pizza,Commit,1800,260,6,Above,1,131,1.7,Bookrunner,Bookrunner,None,0.01297709924,0.1444444444
Beef and Broccoli Union,Decline,1000,100,3,Above,2,88,17.2,Bookrunner,Participant,Demoted,0.1954545455,0.1
Damiba Investment Group,Commit,600,130,2,Market,2,83,27.6,Bookrunner,Bookrunner,None,0.3325301205,0.2166666667
Cold Cut Credit,Commit,1900,270,7,Market,0,228,44.9,Bookrunner,Bookrunner,None,0.1969298246,0.1421052632
Bank of Pepperoni Pizza,Commit,1400,130,7,Market,0,196,28.8,Bookrunner,Participant,Demoted,0.1469387755,0.09285714286
Ipanema Investments,Decline,900,130,2,Below,2,75,2.7,Bookrunner,Bookrunner,None,0.036,0.1444444444
Cold Cut Credit,Commit,1500,270,8,Market,0,164,43.6,Participant,Bookrunner,Promoted,0.2658536585,0.18
Bank of Pepperoni Pizza,Commit,1300,240,5,Market,1,124,17.6,Bookrunner,Bookrunner,None,0.1419354839,0.1846153846
Ipanema Investments,Decline,600,60,1,Above,2,44,7.3,Bookrunner,Participant,Demoted,0.1659090909,0.1
Ipanema Investments,Commit,600,80,4,Market,1,46,9.9,Bookrunner,Bookrunner,None,0.2152173913,0.1333333333
Bank of Pepperoni Pizza,Decline,2500,240,8,Below,0,331,65.2,Bookrunner,Participant,Demoted,0.196978852,0.096
Ipanema Investments,Decline,1000,130,4,Market,1,51,3.9,Bookrunner,Bookrunner,None,0.07647058824,0.13
Beef and Broccoli Union,Commit,1300,250,8,Above,0,109,20.7,Participant,Bookrunner,Promoted,0.1899082569,0.1923076923
Cold Cut Credit,Commit,900,130,1,Above,2,81,16.5,Bookrunner,Bookrunner,None,0.2037037037,0.1444444444
Damiba Investment Group,Decline,600,50,3,Above,2,82,4.7,Bookrunner,Participant,Demoted,0.05731707317,0.08333333333
Cold Cut Credit,Commit,700,130,2,Market,1,34,2.2,Participant,Bookrunner,Promoted,0.06470588235,0.1857142857
Ipanema Investments,Commit,1300,260,6,Above,1,181,0.2,Bookrunner,Bookrunner,None,0.001104972376,0.2
Ipanema Investments,Commit,300,60,1,Market,2,16,6.1,Bookrunner,Bookrunner,None,0.38125,0.2
Ipanema Investments,Commit,800,160,1,Below,2,88,16.5,Bookrunner,Bookrunner,None,0.1875,0.2
Cold Cut Credit,Decline,600,80,3,Market,2,49,1.5,Bookrunner,Bookrunner,None,0.0306122449,0.1333333333
Damiba Investment Group,Commit,1500,210,2,Market,2,142,16.2,Bookrunner,Bookrunner,None,0.114084507,0.14
Bank of Pepperoni Pizza,Commit,600,70,1,Market,2,44,1,Bookrunner,Bookrunner,None,0.02272727273,0.1166666667
Bank of Pepperoni Pizza,Commit,1500,240,2,Market,2,148,5.2,Bookrunner,Bookrunner,None,0.03513513514,0.16
Ipanema Investments,Decline,1200,110,4,Above,1,117,17.8,Bookrunner,Participant,Demoted,0.1521367521,0.09166666667
Cold Cut Credit,Commit,600,110,3,Market,2,82,0.1,Bookrunner,Bookrunner,None,0.001219512195,0.1833333333
Ipanema Investments,Commit,1300,220,9,Market,0,135,17.1,Bookrunner,Bookrunner,None,0.1266666667,0.1692307692
Bank of Pepperoni Pizza,Commit,1200,190,3,Market,2,138,24.2,Bookrunner,Bookrunner,None,0.1753623188,0.1583333333
Cold Cut Credit,Decline,400,30,2,Market,2,58,8.8,Bookrunner,Participant,Demoted,0.1517241379,0.075
Bank of Pepperoni Pizza,Decline,300,50,2,Below,2,33,8,Bookrunner,Bookrunner,None,0.2424242424,0.1666666667
Cold Cut Credit,Commit,700,150,2,Market,2,60,20,Bookrunner,Bookrunner,None,0.3333333333,0.2142857143
Bank of Pepperoni Pizza,Commit,800,130,2,Market,2,54,16.6,Bookrunner,Bookrunner,None,0.3074074074,0.1625
Bank of Pepperoni Pizza,Commit,1500,330,9,Market,0,213,85.8,Bookrunner,Bookrunner,None,0.4028169014,0.22
Ipanema Investments,Commit,1900,250,5,Market,1,158,7.7,Bookrunner,Bookrunner,None,0.04873417722,0.1315789474
Damiba Investment Group,Commit,400,70,1,Market,2,55,14.9,Participant,Bookrunner,Promoted,0.2709090909,0.175
Bank of Pepperoni Pizza,Commit,1100,230,4,Market,1,124,7.3,Participant,Bookrunner,Promoted,0.05887096774,0.2090909091
Beef and Broccoli Union,Commit,1400,220,8,Below,0,168,50.7,Bookrunner,Bookrunner,None,0.3017857143,0.1571428571
Bank of Pepperoni Pizza,Commit,1900,250,2,Market,2,166,2.7,Bookrunner,Bookrunner,None,0.01626506024,0.1315789474
Damiba Investment Group,Commit,900,120,3,Market,2,80,0,Participant,Bookrunner,Promoted,0,0.1333333333
Bank of Pepperoni Pizza,Decline,400,30,2,Market,2,37,2.8,Bookrunner,Participant,Demoted,0.07567567568,0.075
Damiba Investment Group,Commit,1500,180,3,Below,2,200,10.6,Participant,Bookrunner,Promoted,0.053,0.12
Cold Cut Credit,Decline,700,50,2,Market,2,72,8.5,Bookrunner,Participant,Demoted,0.1180555556,0.07142857143
Ipanema Investments,Commit,2000,460,6,Market,0,182,62.1,Bookrunner,Bookrunner,None,0.3412087912,0.23
Damiba Investment Group,Commit,1500,210,3,Market,2,79,7.5,Bookrunner,Bookrunner,None,0.09493670886,0.14
Damiba Investment Group,Decline,700,100,1,Market,1,30,0.7,Bookrunner,Bookrunner,None,0.02333333333,0.1428571429
Cold Cut Credit,Commit,600,120,3,Market,2,34,2.5,Bookrunner,Bookrunner,None,0.07352941176,0.2
Cold Cut Credit,Commit,1500,270,3,Market,2,79,28,Bookrunner,Bookrunner,None,0.3544303797,0.18
Damiba Investment Group,Commit,800,150,4,Market,2,144,35,Bookrunner,Bookrunner,None,0.2430555556,0.1875
Bank of Pepperoni Pizza,Commit,900,110,2,Market,2,79,9.9,Bookrunner,Bookrunner,None,0.1253164557,0.1222222222
Beef and Broccoli Union,Commit,1500,180,3,Market,2,161,19,Participant,Bookrunner,Promoted,0.1180124224,0.12
Cold Cut Credit,Commit,400,60,3,Above,2,35,3.7,Bookrunner,Bookrunner,None,0.1057142857,0.15
Cold Cut Credit,Commit,1600,200,5,Market,2,254,59.7,Bookrunner,Bookrunner,None,0.2350393701,0.125
Beef and Broccoli Union,Commit,1000,130,9,Market,0,148,23.5,Participant,Bookrunner,Promoted,0.1587837838,0.13
Cold Cut Credit,Decline,300,20,2,Market,2,37,4.8,Bookrunner,Participant,Demoted,0.1297297297,0.06666666667
Cold Cut Credit,Commit,1700,300,6,Market,1,204,11.2,Participant,Bookrunner,Promoted,0.05490196078,0.1764705882
Damiba Investment Group,Commit,700,140,1,Market,2,68,9.1,Bookrunner,Bookrunner,None,0.1338235294,0.2
Damiba Investment Group,Commit,1300,190,6,Above,1,128,22.5,Bookrunner,Bookrunner,None,0.17578125,0.1461538462
Beef and Broccoli Union,Commit,600,80,2,Above,2,68,7.8,Bookrunner,Bookrunner,None,0.1147058824,0.1333333333
Ipanema Investments,Decline,1100,90,9,Market,0,115,21.6,Bookrunner,Participant,Demoted,0.187826087,0.08181818182
Cold Cut Credit,Commit,1100,140,9,Market,0,70,9.5,Bookrunner,Bookrunner,None,0.1357142857,0.1272727273
Beef and Broccoli Union,Decline,1700,300,6,Below,0,48,7.3,Bookrunner,Bookrunner,None,0.1520833333,0.1764705882
Damiba Investment Group,Commit,1500,240,9,Below,0,109,32.7,Bookrunner,Bookrunner,None,0.3,0.16
Cold Cut Credit,Commit,1000,140,6,Market,1,108,18.8,Bookrunner,Bookrunner,None,0.1740740741,0.14
Cold Cut Credit,Commit,1300,220,5,Market,2,204,55.1,Bookrunner,Bookrunner,None,0.2700980392,0.1692307692
Ipanema Investments,Commit,1200,180,8,Above,0,158,7.7,Bookrunner,Bookrunner,None,0.04873417722,0.15
